Tipologia;N_Osservazioni;Media_kWh;Mediana_kWh;StdDev_kWh;Min_kWh;Max_kWh;N_POD
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di articoli da viaggi;12;188814.0;240458.5;115495.2;0.0;309835.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di serrature e cernie;18;129653.1;131415.5;23376.3;80105.0;169606.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Formazione sportiva e ricreativa   ;16;133877.2;121370.5;107503.6;31348.0;383829.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio all'ingrosso di motocicli;18;297717.0;291825.0;82503.7;204238.0;514690.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio all'ingrosso di bevande a;18;346834.9;251897.5;232331.6;118517.0;935022.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Edizione di software               ;15;42925.9;40004.0;8434.3;38125.0;72345.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Riproduzione delle piante          ;18;477367.7;372731.5;262161.4;142976.0;1085258.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di pane e prodotti di pa;14;4853901.5;4955243.5;1912523.3;2185266.0;7973653.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Riparazione e manutenzione di mobil;18;63911.9;50386.0;25671.9;40923.0;132954.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Sartoria e confezione su misura di ;18;165459.6;159520.0;28040.8;135995.0;260775.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di energia elettrica da ;14;129347.9;116179.0;72284.0;40309.0;246363.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Trasporto non di linea di passegger;18;51577.7;35522.5;35281.0;16485.0;128354.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Trasporto di merci su strada       ;18;58927.3;55182.0;17186.5;34581.0;115254.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Trasporto di linea di passeggeri su;16;165725.2;168840.5;11889.8;146370.0;185574.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Trasmissione di energia elettrica  ;18;163244.7;162743.0;34597.3;123854.0;227812.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Taglio e lavorazione di pietre e di;17;180737.5;177901.0;33019.5;133757.0;257405.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Telecomunicazioni                  ;12;282554.8;281853.5;7758.3;270741.0;293747.0;1
DOMESTICI | USI DOMESTICI NON RE | Attività di servizi di intermediazi;15;10785.1;2936.0;20465.6;0.0;76333.0;1
DOMESTICI | USI DOMESTICI NON RE | Lavori di muratura                 ;12;19627.7;17397.0;14916.9;0.0;50092.0;1
