Tipologia;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-10;2024-11;2025-01;2025-03;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;Media
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività postali con obbligo di ser;273217.5;312688.0;275255.5;482306.0;361749.3;363810.7;329685.0;373270.3;450356.0;500358.0;678124.7;357410.7;359691.3;315125.7;421175.7;504927.3;327859.3;709868.3;410937.7
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Istruzione prescolastica           ;;;;480923.0;374051.0;372513.0;393533.0;445414.0;343188.0;368713.0;333898.0;395069.0;470929.0;519144.0;168837.0;535216.0;471402.0;472106.0;409662.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di impianti geotermic;455322.2;440321.5;423560.2;369648.0;357330.6;370018.0;363136.5;398727.0;440919.3;514049.7;439627.0;356436.2;365372.5;383388.5;376967.3;402893.5;428310.2;487033.7;409614.6
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di trasmissione radiofonic;463050.0;495319.0;486487.0;516783.0;343308.0;368982.8;382646.8;376400.3;358821.0;375661.8;378458.2;365818.5;381779.7;393355.0;379685.2;393177.7;374848.0;396165.8;401708.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Raccolta, trattamento e fornitura d;229380.2;256383.5;256723.5;283096.0;294988.3;325304.0;388149.0;299044.8;298255.8;672769.1;952501.8;318615.2;435272.5;458409.7;419788.9;368734.1;268226.7;693958.0;401089.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Amministrazione dello Stato e delle;343919.8;358773.7;341395.0;356473.3;338216.1;356720.5;422901.6;476409.5;439078.3;560064.5;416021.7;382217.3;399133.4;368514.6;384286.2;385222.4;406434.2;445949.2;398985.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di altri prodotti in ;497490.0;448191.0;362619.0;391316.0;299959.0;257113.0;315697.0;406159.0;448651.0;535871.0;340805.0;237547.0;260829.0;266867.0;356481.0;339211.0;371458.0;562384.0;372147.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Fabbricazione di porte e finest;496684.7;404557.9;392250.3;366812.1;328513.0;286121.8;308931.2;346376.9;389850.9;470983.6;348587.8;333865.8;355852.1;334623.6;342475.2;368684.2;408842.6;407609.5;371756.8
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di materiali da costr;338660.0;368870.0;326673.0;332682.0;319011.0;333893.0;346675.0;356487.0;386758.0;386833.0;359910.0;332942.0;343563.0;351281.0;351571.0;343802.0;347888.0;376543.0;350224.6
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio all'ingrosso di bevande a;187878.0;118517.0;174828.0;207452.0;298707.0;497400.0;538208.0;187142.0;324655.0;136421.0;207700.0;443091.0;935022.0;849537.0;394228.0;248695.0;255100.0;238447.0;346834.9
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Affitto e gestione di beni immobili;376945.0;314428.0;242471.0;239958.0;165208.0;206344.0;288497.0;341646.0;434260.0;393754.0;333683.0;236160.0;210902.0;282066.0;310625.0;337428.0;448125.0;762307.0;329155.9
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Costruzione di edifici residenz;332829.8;496588.6;462118.9;484251.9;427121.2;540512.6;516872.3;256846.0;269153.5;281583.2;357352.4;158487.5;201602.0;142271.0;202052.8;240158.6;275248.9;206946.5;325111.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di calza;;381470.0;370929.0;214924.5;289027.5;431490.5;458757.5;230328.0;216216.5;398621.0;318449.5;256443.0;431147.5;456305.0;263574.5;191145.0;192977.5;348719.5;320619.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altri trasporti ferroviari di passe;;;;;242996.0;445894.0;518905.0;182278.0;98657.0;418104.0;322701.0;271692.0;478530.0;549357.0;435491.0;124878.0;67204.0;317659.0;319596.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio all'ingrosso di motocicli;216482.0;214043.0;241317.0;220749.0;257345.0;317765.0;338992.0;208264.0;322836.0;514690.0;370590.0;275239.0;310413.0;257321.0;204238.0;308411.0;386058.0;394153.0;297717.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altri servizi di supporto al traspo;319612.5;353031.0;315849.0;287264.5;275562.0;302719.5;299855.5;291797.5;286990.0;285004.5;261501.5;275178.5;292119.0;296591.0;273384.0;285567.5;284644.0;292943.5;293311.9
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altre attività creditizie          ;;;;;304967.0;239500.0;241397.0;326682.0;330340.0;353107.0;335709.0;256419.0;233191.0;233627.0;239790.0;327387.0;325150.0;338185.0;291817.9
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Telecomunicazioni                  ;;;;;;;293747.0;284056.0;270788.0;279193.0;280970.0;285220.0;292090.0;293370.0;278320.0;282737.0;270741.0;279426.0;282554.8
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di giornali ;241897.0;269592.0;217766.0;278727.0;259823.0;296298.0;316363.0;289494.0;267413.0;304428.0;255508.0;259157.0;309547.0;311909.0;266916.0;257107.0;285057.0;303960.0;277275.7
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Raccolta di rifiuti non pericolosi ;550354.0;206482.7;143194.3;133277.7;143504.8;136819.8;142026.2;169623.2;482871.0;837536.0;372269.5;170602.5;153366.2;147106.0;139393.8;160212.8;303703.5;579149.0;276194.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività di trasporti ter;391431.0;365637.0;304621.5;297123.7;213996.8;218425.0;210346.5;246741.2;304585.5;319877.8;295221.5;236228.0;245838.0;237063.2;225075.8;250588.0;280318.8;316856.5;275554.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Rifugi di montagna             ;;;;;300045.0;462066.5;448602.0;102371.7;56121.3;281406.7;223946.0;268365.3;417693.7;450693.0;286021.7;114230.3;66484.7;253492.7;266538.6
